loss,mae,val_loss,val_mae,learning_rate
147.5033416748047,5.99950647354126,51.42709732055664,3.638122797012329,0.0005000000237487257
30.12539291381836,2.3752880096435547,65.2296142578125,4.28205680847168,0.0005000000237487257
22.715051651000977,2.030514717102051,60.60246658325195,3.881866931915283,0.0005000000237487257
19.054410934448242,1.8205616474151611,67.03929901123047,4.097264766693115,0.0005000000237487257
16.100061416625977,1.6206003427505493,75.30403137207031,4.421054363250732,0.0005000000237487257
14.779038429260254,1.5285921096801758,87.97846221923828,4.867825031280518,0.0005000000237487257
12.4314546585083,1.3889741897583008,86.83118438720703,4.813931465148926,0.0005000000237487257
12.073698997497559,1.3129075765609741,91.4024429321289,4.9915056228637695,0.0005000000237487257
10.931999206542969,1.2351917028427124,93.65969848632812,4.962284088134766,0.0005000000237487257
8.439824104309082,1.071195363998413,101.76942443847656,5.311954498291016,0.0002500000118743628
7.44107723236084,1.0033109188079834,105.19320678710938,5.3344950675964355,0.0002500000118743628
7.466627597808838,0.9920322299003601,106.26193237304688,5.388201713562012,0.0002500000118743628
7.294589042663574,0.9698148369789124,111.07460021972656,5.590327739715576,0.0002500000118743628
7.444418907165527,0.9612036347389221,106.25567626953125,5.385166645050049,0.0002500000118743628
6.6558918952941895,0.904121994972229,109.69877624511719,5.427054405212402,0.0002500000118743628
6.533113479614258,0.8857125639915466,116.13191223144531,5.60318660736084,0.0002500000118743628
